tconst,ordering,nconst,category,job,characters
tt6728096,2,nm1101310,actress,\N,"[""Jen""]"
tt6728096,3,nm2034752,actor,\N,"[""Jordan""]"
tt6728096,4,nm3378435,actress,\N,"[""Anna""]"
tt6728096,5,nm8893681,actress,\N,"[""Sepa""]"
tt6728096,6,nm0853498,actress,\N,"[""Shona""]"
tt6728096,7,nm0087357,actor,\N,"[""Graham""]"
tt6728096,8,nm0641061,actor,\N,"[""Stan""]"
tt6728096,9,nm1959207,actor,\N,"[""Joe""]"
tt6728096,10,nm10358793,actress,\N,"[""Sepa's Crew""]"
tt6728096,11,nm0759819,director,\N,\N
tt6728096,12,nm1101310,director,\N,\N
tt6728096,13,nm0759819,writer,\N,\N
tt6728096,14,nm1101310,writer,\N,\N
tt6728096,15,nm1673169,producer,producer,\N
tt6728096,16,nm1189390,producer,producer,\N
tt6728096,17,nm2868859,producer,producer,\N
tt6728096,18,nm1442000,cinematographer,cinematographer,\N
tt6728096,19,nm2305414,editor,\N,\N
tt6728096,20,nm0877879,casting_director,\N,\N
tt6728096,21,nm1289716,production_designer,\N,\N
tt6821012,1,nm0001191,actor,\N,"[""Kenny Lustig""]"
tt6821012,2,nm0001674,actor,\N,"[""Kirby Cordice""]"
tt6821012,3,nm0000114,actor,\N,"[""Charles""]"
tt6821012,4,nm0237222,actress,\N,"[""Debbie""]"
tt6821012,5,nm3300228,actress,\N,"[""Sarah""]"
tt6821012,6,nm5828411,actor,\N,"[""Tyler""]"
tt6821012,7,nm2473246,actress,\N,"[""Robin""]"
tt6821012,8,nm5877170,actress,\N,"[""Rose""]"
tt6821012,9,nm9145877,actor,\N,"[""Isaac""]"
tt6821012,10,nm9429630,actor,\N,"[""Seymour""]"
tt6821012,11,nm0806912,director,\N,\N
tt6821012,12,nm0001191,writer,written by,\N
tt6821012,13,nm0806912,writer,written by,\N
tt6821012,14,nm0184445,producer,producer,\N
tt6821012,15,nm0001191,producer,producer,\N
tt6821012,16,nm0340003,composer,\N,\N
tt6821012,17,nm4364135,cinematographer,\N,\N
tt6821012,18,nm0182363,editor,\N,\N
tt6821012,19,nm0014428,casting_director,\N,\N
tt6821012,20,nm2041261,casting_director,\N,\N
tt6821012,21,nm0086690,production_designer,\N,\N
tt7042862,1,nm0000385,actor,\N,"[""Calvin Barr""]"
tt7042862,2,nm0320219,actor,\N,"[""Priggish Nazi""]"
tt7042862,3,nm2636108,actor,\N,"[""Calvin Barr""]"
tt7042862,4,nm2781226,actress,\N,"[""Secretary""]"
tt7042862,5,nm11634926,actor,\N,"[""Hitler""]"
tt7042862,6,nm1501501,actor,\N,"[""George""]"
tt7042862,7,nm1880089,actor,\N,"[""Bum""]"
tt7042862,8,nm4355757,actor,\N,"[""Paxton""]"
tt7042862,9,nm6727895,actor,\N,"[""Slater""]"
tt7042862,10,nm4092744,actor,\N,"[""Paperboy""]"
tt7042862,11,nm2421238,director,\N,\N
tt7042862,12,nm2421238,writer,\N,\N
tt7042862,13,nm2435550,producer,producer,\N
tt7042862,14,nm0263839,producer,producer,\N
tt7042862,15,nm2421238,producer,producer,\N
tt7042862,16,nm1031246,producer,producer,\N
tt7042862,17,nm0469145,composer,\N,\N
tt7042862,18,nm0892957,cinematographer,\N,\N
tt7042862,19,nm1351446,editor,\N,\N
tt7042862,20,nm0517235,casting_director,\N,\N
tt7042862,21,nm2689873,casting_director,\N,\N
tt7042862,22,nm3972931,production_designer,\N,\N
tt7313348,1,nm1469236,actress,\N,"[""Hope""]"
tt7313348,2,nm3239803,actress,\N,"[""Dilly""]"
tt7313348,3,nm2129444,actress,\N,"[""Mara""]"
tt7313348,4,nm0300712,actor,\N,"[""Zeke""]"
tt7313348,5,nm0324658,actor,\N,"[""Lemuel""]"
tt7313348,6,nm3287038,actor,\N,"[""Augie""]"
tt7313348,7,nm5730649,actor,\N,"[""Garret""]"
tt7313348,8,nm1595204,actress,\N,"[""Connie Ray""]"
tt7313348,9,nm9434573,actor,\N,"[""Harold""]"
tt7313348,10,nm2518227,actress,\N,"[""Deb""]"
tt7313348,11,nm4006926,director,\N,\N
tt7313348,12,nm6939134,director,\N,\N
tt7313348,13,nm4006926,writer,writer,\N
tt7313348,14,nm6939134,writer,\N,\N
tt7313348,15,nm0124930,producer,producer,\N
tt7313348,16,nm0303010,producer,producer,\N
tt7313348,17,nm0375033,producer,producer,\N
tt7313348,18,nm2258931,producer,producer,\N
tt7313348,19,nm5096683,composer,\N,\N
tt7313348,20,nm2316186,cinematographer,director of photography,\N
tt7313348,21,nm3218987,editor,\N,\N
tt7313348,22,nm2002499,casting_director,casting_director,\N
tt7313348,23,nm0803260,casting_director,\N,\N
tt7313348,24,nm1848697,production_designer,\N,\N
tt7844166,1,nm5993393,actor,\N,"[""Lyutobor""]"
tt7844166,2,nm8461408,actor,\N,"[""Kunitsa - aka Marten""]"
tt7844166,3,nm0875434,actor,\N,"[""Oleg Svyatoslavovich - Prince of Tmutarakan""]"
tt7844166,4,nm9770678,actress,\N,"[""Tatyana""]"
tt7844166,5,nm9770679,actor,\N,"[""Prov""]"
tt7844166,6,nm9770682,actor,\N,\N
tt7844166,7,nm2418677,actor,\N,"[""Berendey's Priest""]"
tt7844166,8,nm3253310,actor,\N,"[""Merchant's Guard""]"
tt7844166,9,nm5740056,actor,\N,"[""Troyan's Guard""]"
tt7844166,10,nm0470397,actor,\N,"[""Yar""]"
tt7844166,11,nm6267209,director,\N,\N
tt7844166,12,nm3576575,writer,\N,\N
tt7844166,13,nm6267209,writer,\N,\N
tt7844166,14,nm11575672,writer,translator,\N
tt7844166,15,nm0783652,producer,producer,\N
tt7844166,16,nm2867432,cinematographer,cinematographer,\N
tt7844166,17,nm3166602,editor,\N,\N
tt8054608,1,nm9653682,actress,\N,"[""Petrunija""]"
tt8054608,2,nm0593865,actress,\N,"[""Journalist Slavica""]"
tt8054608,3,nm6915284,actor,\N,"[""Younger Officer Darko""]"
