index,backdrop_path,overview,poster_path,original_language,vote_average,origin_country,parentTconst,title_series,genres,startYear,genres_,voisin1,voisin2,voisin3,voisin4
31,/631J5xZt4bVNtSQWIKAzUFQmHfu.jpg,"Lascars is a French animated series created by Boris Dolivet, aka El Diablo, it was aired on the French channel Canal + for the first time in 1998. This series spawned two seasons, the first one in 1998 and the second in 2007, a pilot for a project of a 20 minute series, a comic and a movie. The episodes follow the mishaps of young men living in a district, the series is rife with hip-hop culture, most of the voice cast are French rappers.

Lascars shorts aired in Canada on Teletoon under the title Homiez in English.",/b45bxHEPMPsUrGlSyfo6p099b4J.jpg,fr,7.2,['FR'],tt0856138,Lascars,Animation,1998.0,3,Lascars,Les tragédies minuscules,Les Griffin,Oggy et les cafards
33,/v1uB1UiKhuSSh982wyNRFrWfLp2.jpg,A strange geometric shape in a field becomes the key to a young woman's dark family past.,/l5xzUxIraNX3IxIxnpyNryPsAZv.jpg,fr,7.0,['FR'],tt0997268,Mystère,Mystery,2007.0,6,Mystère,Smosh,Little Britain,Détectives
34,/6KqJb0UcoDRSv2ek22sw1OBMLF0.jpg,"In a brewing war between the gods of Olympus and the titans, Heron, a commoner living on the outskirts of ancient Greece, becomes mankind's best hope of surviving an evil demon army, when he discovers the secrets of his past.",/zXRR5tgGLtKrRmuN4ko9SLAdCiZ.jpg,en,7.8,['US'],tt10009170,Blood of Zeus,Animation,2020.0,3,Blood of Zeus,I Was Reincarnated as the 7th Prince So I Can Take My Time Perfecting My Magical Ability,Re: Zero - Starting Life in Another World,Gangs of London
35,/k7if58AYhpJcTBfM5x3D056JNmC.jpg,"After meeting an untimely demise in separate incidents, Cha Min and Go Se-yeon discover they’ve come back to life in new bodies they don’t recognize.",/ttcqbLutnHABQwDiW1k7dxnsJLV.jpg,ko,8.137,['KR'],tt10055734,Eobiseu,Comedy,2019.0,5,Eobiseu,Aynen Aynen,True Beauty,Tyler Perry's Young Dylan
36,/yhzrN644c0ax3CrZnfzkQWD4aVX.jpg,"Tired of the constant comments on her relationship status, perpetually single Johanne starts a 24-day hunt for a boyfriend to bring home for Christmas.",/9ISBql67OPMVZtTt5ZBWD3FBQpG.jpg,no,7.3,['NO'],tt10069398,Home for Christmas,Comedy,2019.0,5,Home for Christmas,Family Business,Last One Standing,Pooreun Badaui Junsul
37,/1YU4caJKDH2zOaKlpvdXHpaOwO0.jpg,"Set during the period of the 1894 Donghak Peasant Revolution against the Japanese, the drama tells the story of two half-brothers, one illegitimate and low born, and one, part of the pro-Japanese ruling elite, who find themselves on opposite sides of the conflict.",/kKCvoDIp36NvZPu5TGfW9ALzBEf.jpg,ko,7.3,['KR'],tt10101380,The Nokdu Flower,Drama,2019.0,0,1994,The Nokdu Flower,Devils,Les sauvages
38,/lCQLHWbLD45eXwQevGUkwKgd4li.jpg,"On the verge of an historic election victory, an Arabic candidate for the French presidency sees his ambitions threatened by a perfect storm of religious, cultural, and family politics.",/w09T4KO1usVsO1eR6iM2HKz1Gwj.jpg,fr,7.192,['FR'],tt10371844,Les sauvages,Drama,2019.0,0,Les sauvages,La sélection,The Nokdu Flower,1994
39,/nPhrJRN1U95NJiOfwtGF2GlZP4a.jpg,"Seeking to recover his memory, a scissor-wielding, hairdressing, bungling quasi-assassin stumbles into a struggle for power among feuding factions.",/nuovZ11MA2pHx6xQVpOFc6Jl1V0.jpg,zh,8.6,['CN'],tt10384610,Scissor Seven,Animation,2018.0,3,Scissor Seven,Bluey,Douluo Dalu,SPY×FAMILY
40,/jyvOp7oWNueMQsIUZCiHtMppQC2.jpg,"The dramatised account of how the world’s greatest Special Forces unit, the SAS, was formed under extraordinary circumstances in the darkest days of World War Two.",/qEaxiDrPaTY34eIg6naXMfM2IKC.jpg,en,7.6,['GB'],tt10405370,SAS Rogue Heroes,Drama,2022.0,0,SAS Rogue Heroes,Mellangkollia,Bad Romeo,Minuit au Pera Palace
41,/oQd4y7GjGWJfkw7Ub8rZhjNjTvw.jpg,"After learning France is about to legalize pot, a down-on-his-luck entrepreneur and his family race to turn their butcher shop into a marijuana café.",/xj8rrY53f5RtrhoI2Zliz3DPU31.jpg,fr,7.165,['FR'],tt10423460,Family Business,Comedy,2019.0,5,Family Business,Home for Christmas,Lopez contre Lopez,Last One Standing
