index,backdrop_path,overview,poster_path,original_language,vote_average,origin_country,parentTconst,ordering,title_series,genres,startYear,voisin1,voisin2,voisin3,voisin4
19379,/aScS3qIDJwwXuk0geA5M7TDzzYc.jpg,"The Section de recherches is a special unit of the Gendarmerie nationale, responsible for the most complex cases. In Bordeaux (from 2006 to 2013) and then in Nice (since 2014), child abductions, disappearances, heinous or sexual crimes are the daily lot of the investigators in this research unit. In the search for witnesses, the team is authorised to extend its investigations beyond France's borders.",/gClAGMFp5J2vzs8CDbCBMQzk02v.jpg,fr,8.4,['FR'],tt0806905,3.0,Section de recherches,Crime,2006.0,Section de recherches,Section de recherches,Esprits criminels,Grey's Anatomy
19557,/bhG5IPraJd04px8bTBh7N4hxypz.jpg,"Monster Allergy is a 2005 animated television series, jointly produced by Rainbow S.p.A., Futurikon, RAI Fiction and ZDF.",/mM9dfhCxdxPNXH3blfx4hzNa8vo.jpg,it,7.8,['IT'],tt0850641,4.0,Monster Allergy,Sci-Fi & Fantasy,2006.0,Monster Allergy,Liar Game,Engrenages,Engrenages
19733,/eeLNM7MMyXpwq5G11kBhAcbkikK.jpg,A group of boarding school students embark on the search for a treasure when one of them discovers a long hidden secret in the attic.,/huAHHfsAKoc1pWjb5Qll7WPxJzJ.jpg,nl,8.0,"['BE', 'NL']",tt0892187,4.0,Het huis Anubis,Kids,2006.0,Het huis Anubis,BeTipul,Engrenages,Engrenages
20044,/fTD01TZpcvf99s4x3a25hjSaNNo.jpg,"Gavin is an ordinary boy from Billericay, Essex. Stacey is an ordinary girl from Barry Island, South Wales. They’ve spoken on the phone every day at work for months but they’ve never actually met… until now.",/jNpySE7Rwq1DlhHadMZnGquralv.jpg,en,7.5,['GB'],tt0908454,4.0,Gavin & Stacey,Comedy,2007.0,Gavin & Stacey,Rita & Whatsit,W.I.T.C.H.,Rosario Tijeras
20290,/c7STUe6K17OcQLpzFBgSC5nhj8y.jpg,"Nao Kanzaki, a student, was blackmailed into joining a ""Liar Game"" and ended up losing 100 million yen. In order to repay the debt, she enlists the help of Shin'ichi Akiyama, a genius swindler who was only recently released from jail for bankrupting one of Japan's largest scam companies.",/oSaZVSF5exQKXHIDotbTqA8ZntJ.jpg,ja,7.8,['JP'],tt0978076,4.0,Liar Game,Drama,2007.0,Liar Game,Monster Allergy,Engrenages,Engrenages
20759,/dgYUF4FoKF2UdGMP7Mhd6eFDGdy.jpg,"As a punishment for meddling in human affairs, an angel faces the impossible task of finding a soulmate for a cold-hearted ballerina.",/ltoY1cMTdh5ovUe6JhEsuU5Twd3.jpg,ko,8.126,['KR'],tt10160592,4.0,Angel's Last Mission: Love,Drama,2019.0,Angel's Last Mission: Love,Good Omens,You,Koi Desu: Yankee-kun to Hakujou Garu
21013,/f7k5kzzthFO9F48XpqSb6fXqlFM.jpg,"The Bravest Knight is the story of a young pumpkin farmer named Cedric as he attempts to become the greatest knight who ever lived. Now grown and married to the prince of his dreams, Sir Cedric recounts his fairytale adventures to his adopted daughter Nia, showing her the paths and pitfalls that await her on the way to knighthood.",/shQOswlI6DQPmy0hmSBHh91jlhQ.jpg,en,7.4,['US'],tt10394790,4.0,The Bravest Knight,Animation,2019.0,The Bravest Knight,Les Green à Big City,To the Lake,1994
21014,/jyvOp7oWNueMQsIUZCiHtMppQC2.jpg,"The dramatised account of how the world’s greatest Special Forces unit, the SAS, was formed under extraordinary circumstances in the darkest days of World War Two.",/qEaxiDrPaTY34eIg6naXMfM2IKC.jpg,en,7.6,['GB'],tt10405370,4.0,SAS Rogue Heroes,Drama,2022.0,SAS Rogue Heroes,Le chemin de l'olivier,Summer Strike,Les Enquêtes sauvages
21263,/7k2TgRgvgyM23TPdKPVCtsHsIrV.jpg,"Provoked by the actions of a seemingly sly human, an ancient snake spirit takes on a human form, in order to prove him a fraud. Convinced she’s doing the world a favor, Bai Su Zhen challenges Xu Xuan to a contest of skill but what starts as a heated rivalry soon turns to burning passion. Faced with opposition from every side, Bai Su Zhen and Xu Xuan’s love is put to the test time and time again.",/1ZYBRDnpgMcDI3h5ZovCRS2NJvX.jpg,zh,7.0,['CN'],tt10628250,4.0,The Legend of White Snake,Drama,2019.0,The Legend of White Snake,Home,Jeux d'influence,La Légende de Tang
22238,/l2MdOlXO4XI7HvRmlMWxTxf3BXc.jpg,"An Indigenous teen struggles to support his dysfunctional family as myth, magic, and monsters slowly infiltrate his life.",/xOGaNevMHwbrHSo6zwIZxECMt8m.jpg,en,7.3,['CA'],tt11187454,4.0,Trickster,Sci-Fi & Fantasy,2020.0,Trickster,Two Weeks to Live,1994,Le bandit repenti
